n,heapsort.ticks
50000,2541698
60000,3098415
70000,3657448
80000,4231712
90000,4806062
100000,5386071
110000,5969740
120000,6555422
130000,7137532
140000,7734774
150000,8334573
160000,8940387
170000,9544497
180000,10152242
190000,10759381
200000,11369816
210000,11989213
220000,12598940
230000,13213257
240000,13823623
250000,14438772
260000,15061222
270000,15685011
280000,16310741
290000,16942861
300000,17571142
310000,18205448
320000,18838230
330000,19477034
340000,20110147
350000,20750854
360000,21389617
370000,22030347
380000,22662624
390000,23305617
400000,23939651
410000,24589285
420000,25230795
430000,25865009
440000,26518732
450000,27152620
460000,27803190
470000,28448341
480000,29086592
490000,29733035
